lat,lng
35.6850,139.7514
-6.1753,106.8269
23.1300,113.2600
19.0758,72.8775
31.2325,121.4692
19.3538,-99.1359
-23.5504,-46.6339
37.5600,126.9900
29.5500,106.5069
39.9040,116.4075
22.5675,88.3700
30.0444,31.2358
24.8600,67.0100
40.6943,-73.9249
23.7289,90.3944
55.7506,37.6175
13.7500,100.5167
6.4561,3.3936
30.6600,104.0633
28.6600,77.2300
-4.3233,15.3081
41.0100,28.9603
10.7756,106.7019
34.6938,135.5021
22.5467,114.0544
35.6889,51.3897
-34.5997,-58.3819
39.1467,117.2056
14.5958,120.9772
31.5497,74.3436
30.5950,114.2975
13.0825,80.2750
34.1141,-118.4068
34.2611,108.9422
-22.9111,-43.2056
51.5072,-0.1275
48.8567,2.3522
23.0475,113.7493
12.9791,77.5913
-12.0600,-77.0375
32.0608,118.7789
23.0219,72.5797
35.1814,136.9064
-8.8383,13.2344
23.0292,113.1056
41.8375,-87.6866
24.9913,121.3143
3.1478,101.6953
36.6667,116.9833
18.5211,73.8553
33.3153,44.3661
4.6097,-74.0817
-6.8161,39.2803
41.8025,123.4281
15.6031,32.5265
17.3617,78.4747
22.2783,114.1586
24.6500,46.7100
-6.9218,107.6071
36.1167,120.4000
-33.4375,-70.6500
45.7500,126.6333
31.5667,120.2833
31.3000,120.6194
34.7492,113.6605
21.2050,72.8400
38.8671,115.4845
25.7840,-80.2101
-7.2463,112.7378
29.7860,-95.3885
40.4169,-3.7033
-19.9281,-43.9419
28.1987,112.9709
22.8192,108.3150
32.7935,-96.7667
25.4500,81.8500
25.0433,102.7061
40.0077,-75.1339
38.0425,114.5100
38.9000,121.6000
9.0358,38.7525
43.8800,125.3228
31.2231,121.5397
43.7417,-79.3733
5.3364,-4.0267
59.9500,30.3167
27.8041,114.3830
1.3000,103.8000
-33.8678,151.2100
31.1975,29.8925
-37.8142,144.9631
34.5328,69.1658
25.6844,-100.3181
33.7628,-84.4220
22.3350,91.8325
38.9047,-77.0163
24.2850,72.6933
16.8053,96.1561
31.8639,117.2808
27.3328,103.7144
39.6294,118.1739
25.2697,55.3094
41.3825,2.1769
-26.2044,28.0416
20.6764,-103.3422
21.5428,39.1728
52.5167,13.3833
26.4725,80.3311
37.8733,112.5425
26.5794,106.7078
25.7167,86.4000
29.9870,31.2118
42.3188,-71.0852
22.5333,113.3500
20.2581,105.9797
-1.2864,36.8172
-1.0500,37.0000
-0.8500,37.0300
43.8225,87.6125
23.3539,116.6822
37.4644,121.4478
12.6458,-7.9922
12.0022,8.5920
-3.7275,-38.5275
21.0245,105.8412
33.5722,-112.0892
26.0769,119.2917
31.9500,35.9333
4.0500,9.7000
30.2500,120.1675
33.5992,-7.6200
28.6842,115.8872
31.1289,104.3950
24.4797,118.0819
7.3775,3.9058
24.1439,120.6794
42.3834,-83.1024
9.0556,7.4914
31.9829,120.8873
35.4333,139.6500
45.5089,-73.5617
35.1041,118.3502
47.6211,-122.3244
3.5894,98.6739
38.2655,109.7388
31.8122,119.9692
34.2610,117.1859
24.6928,108.0850
50.9422,6.9578
22.3000,73.2000
23.1115,114.4152
36.7831,118.0497
6.7000,-1.6250
36.0617,103.8318
11.1793,77.3760
35.1800,129.0750
37.7558,-122.4449
26.8470,80.9470
-8.6312,116.3176
6.4167,0.0833
34.3609,107.1751
36.2975,59.6059
27.7233,109.1885
30.5098,105.5737
10.4799,76.1131
-33.3167,-71.4167
31.4180,73.0790
29.1300,78.9500
29.0100,79.5100
-2.1900,-79.8875
14.6500,121.0475
26.9150,75.8200
32.4831,119.9000
47.4983,19.0408
32.8313,-117.1222
12.3686,-1.5275
37.9842,23.7281
37.4639,126.6486
36.7764,3.0586
-15.7939,-47.8828
29.3750,47.9800
27.9945,-82.4447
15.3500,44.2000
50.4500,30.5236
10.6167,76.5333
44.9635,-93.2678
3.4400,-76.5197
18.5469,-72.3403
-6.1209,23.5967
39.0167,125.7475
36.6116,114.4894
33.5886,119.0192
22.1497,-100.9750
-4.2694,15.2711
15.6835,32.4629
48.7775,9.1800
41.8931,12.4828
50.3000,18.7833
50.2855,18.9309
50.3000,19.1667
50.4016,18.9010
50.3981,18.6275
50.3117,18.8514
50.1439,18.7756
50.1708,18.9039
50.1494,18.8419
50.2167,18.6833
50.1478,19.1814
50.2942,18.6658
50.2884,18.9628
50.3333,19.0833
50.3339,19.2047
50.0911,19.0910
40.6501,-73.9496
22.6150,120.2975
-5.0903,-42.8167
40.8108,114.8811
39.7620,-104.8758
50.3470,18.9230
-27.4678,153.0278
50.2119,19.1478
33.5131,36.2919
40.8151,111.6629
23.9889,90.3750
11.8500,75.4167
48.1375,11.5750
26.0865,119.2980
52.4800,-1.9025
25.8292,114.9336
41.3111,69.2797
38.4850,106.2250
30.7083,111.2803
21.6618,110.9178
23.0333,79.0167
24.3264,109.4281
36.7167,119.1000
22.1688,81.6042
53.5500,10.0000
6.2502,-75.5676
32.4353,105.8398
19.2922,-99.6539
-15.4167,28.2833
35.8717,128.6017
25.0375,121.5625
3.8578,11.5181
22.2742,113.5719
25.1211,99.1690
21.4225,39.8261
49.2500,-123.1000
40.7643,120.8533
33.8869,35.5131
-12.9831,-38.4928
44.4134,26.0978
21.1497,79.0806
40.7498,-73.7976
-6.2333,107.0000
33.3500,120.1569
26.1806,91.7502
28.6667,77.4167
27.7050,106.9336
33.9381,-117.3949
-6.4050,106.8173
6.9267,79.8606
32.0654,112.1531
50.1106,8.6822
25.4394,119.0103
6.1208,-1.6536
-3.1189,-60.0217
40.3667,49.8352
-18.9100,47.5250
36.2333,-115.2654
33.5901,130.4017
40.6562,109.8345
36.5952,109.4863
34.8667,117.5500
40.2197,116.2255
23.8864,100.0871
20.0200,110.3200
24.3495,102.5432
34.6587,112.4245
10.5061,-66.9144
-6.1703,106.6403
23.7333,109.2333
31.4669,104.7385
43.2400,76.9150
48.2083,16.3725
32.6525,51.6750
34.5906,119.1801
29.7048,116.0021
39.3051,-76.6144
6.1300,1.2158
-22.9009,-47.0573
30.7758,106.1029
6.2000,7.0667
28.7596,104.6400
31.3340,118.3622
23.1367,-82.3589
-31.9558,115.8597
11.0008,76.9633
38.6359,-90.2451
11.5696,104.9210
32.8986,115.8045
29.8750,121.5492
2.0392,45.3419
23.2993,116.1586
45.5371,-122.6500
22.3167,114.1833
8.9711,-79.5347
6.9042,122.0761
22.4167,107.3667
33.6007,73.0679
29.4632,-98.5238
32.9987,112.5292
28.4419,117.9633
35.5412,106.6819
-16.4958,-68.1333
24.8141,118.5792
25.6100,85.1414
22.2969,70.7984
17.6939,83.2922
52.2300,21.0111
32.1500,74.1833
36.2000,37.1600
32.5364,-117.0372
53.9022,27.5618
22.7186,75.8550
50.2500,19.0000
38.5677,-121.4685
35.8328,50.9917
34.0144,71.5675
31.7542,116.5078
43.0619,141.3544
10.1667,-68.0000
36.6239,101.7787
28.4773,-81.3370
30.3005,-97.7522
30.7991,106.0784
21.1967,110.4031
31.0152,121.2291
36.7199,139.6982
30.6667,76.8333
-17.6667,30.8000
29.9333,77.9000
19.1800,72.9633
39.9398,119.5881
30.1978,71.4711
4.7655,7.0163
34.3659,107.3590
34.4259,115.6467
35.4000,116.5667
31.2152,107.4947
37.3012,-121.8480
18.3985,-66.0610
23.2500,77.4167
36.3667,43.1167
-34.9059,-56.1913
-11.6642,27.4828
-17.7892,-63.1975
5.5560,-0.1969
6.3176,5.6145
-25.4297,-49.2719
34.1000,118.7333
39.7771,-86.1458
33.6333,116.9683
-0.2200,-78.5125
27.1800,78.0200
46.5979,125.0080
23.6700,116.6300
8.5674,78.1046
23.6842,113.0507
34.7950,114.3450
36.2001,117.0809
25.3792,68.3683
40.4397,-79.9763
18.6278,73.8131
24.9139,118.5858
37.5000,122.1000
39.1413,-84.5060
25.2819,110.2864
23.6140,58.5911
45.7675,4.8350
39.1238,-94.5541
14.6500,120.9667
25.0881,117.0244
-31.4167,-64.1833
23.1144,109.5944
30.4500,77.7300
30.3331,77.9608
41.4764,-81.6805
40.7834,-73.9662
0.5000,38.6700
36.1953,113.0970
0.3136,32.5811
30.7458,108.4310
29.2942,117.2036
9.5092,-13.7122
32.3912,119.4363
24.9878,118.3858
19.5991,-99.0492
31.3867,120.9766
-6.2889,106.7181
55.0333,82.9167
43.2967,5.3764
39.9862,-82.9855
33.9331,118.2831
-6.9900,110.4225
30.9083,75.8486
13.3558,-9.5517
28.8918,105.4409
31.9087,120.2653
39.4700,-0.3764
27.9991,120.6561
21.1219,-101.6833
19.0413,-98.2062
35.0833,117.1500
26.2658,117.6302
28.9800,77.7064
5.3347,-4.0700
24.4511,54.3969
29.6100,52.5425
32.4831,117.0164
9.9197,78.1194
-17.8292,31.0522
38.0739,46.2961
23.0500,112.4667
10.6333,-71.6333
35.4164,119.4331
41.1066,122.9895
9.9327,-84.0796
13.6976,-89.1912
35.5308,139.7030
33.8626,115.7742
-2.9833,104.7644
53.3497,-6.2603
26.4333,50.1000
42.6979,23.3217
34.6902,135.1954
-1.9525,30.1150
23.4000,110.0833
21.6146,110.2794
28.1958,115.7833
29.9888,103.0007
51.2256,6.7767
6.2950,6.8988
6.3333,6.8833
13.5150,2.1175
20.9147,110.0806
35.1667,126.9167
-3.4000,24.4200
-8.0539,-34.8808
35.2083,-80.8303
27.9814,116.3577
20.0000,73.7833
6.1667,6.7833
52.3667,4.8833
36.3500,127.3850
40.8501,-73.8662
-36.8492,174.7653
29.0397,111.6839
56.8356,60.6128
42.2550,118.8825
18.0858,-15.9785
36.7335,-76.0435
14.6726,-17.4320
43.6172,122.2640
-16.6806,-49.2564
37.4500,118.4667
25.5102,103.8029
31.8775,120.5512
35.0111,135.7669
32.6351,110.7755
36.0080,106.2782
23.6139,58.5922
49.9925,36.2311
-4.7975,11.8503
32.1264,114.0672
21.9135,110.8481
24.4700,39.6100
47.3398,123.9512
28.4167,77.3000
21.9500,108.6167
50.0875,14.4214
55.6761,12.5689
47.9214,106.9055
41.1500,-8.6108
-30.0328,-51.2300
-4.0500,39.6667
32.0800,34.7800
-34.9275,138.6000
23.9010,106.6194
49.4539,11.0775
28.3147,112.5540
26.2270,84.6746
28.6125,76.9847
26.8968,112.5857
60.1708,24.9375
45.4669,9.1900
18.3000,42.7333
35.2333,115.4333
19.4500,-70.7000
5.4189,-4.0206
-5.1331,119.4136
35.9100,117.7800
32.9354,117.3531
27.2578,111.7351
30.3322,-81.6749
